Title,Description,Country of Origin,Type,Milk,FileUrI
Cheddar,"A hard, sharp-tasting cheese which is aged anywhere from 3-24 months.",United Kingdom,hard,cow,https://upload.wikimedia.org/wikipedia/commons/1/18/Somerset-Cheddar.jpg
Wensleydale,"A medium cheese, somewhat crumble. It is aged for three to six months.",United Kingdom,medium,cow,https://upload.wikimedia.org/wikipedia/commons/0/08/Wensleydale_cheese_2.jpg
Brie,A soft-ripened cow's milk cheese with an edible rind.,France,soft,cow,https://upload.wikimedia.org/wikipedia/commons/8/88/Brie_01.jpg
Colby,An orange semi-hard cheese made in a process similar to that for cheddar.,United States,semi-hard,cow,https://upload.wikimedia.org/wikipedia/commons/1/11/Colby_Cheese.jpg
Camembert,"A creamy, soft-ripened cheese from Camembert in Normandy, France.",France,soft,cow,https://upload.wikimedia.org/wikipedia/commons/d/dd/Camembert_de_Normandie_%28AOP%29_11.jpg
Hoop cheese,A simple cows-milk cheese common to the south-eastern United States.,United States,hard,cow,
Edam cheese,A semi-hard cheese with a nutty flavor. It is usually sold with a coat of red wax.,Netherlands,semi-hard,cow,https://upload.wikimedia.org/wikipedia/commons/5/52/SmallEdamCheese.jpg
Feta,A crumbly white cheese which is aged in brine.,Greece,soft,sheep; goat,https://upload.wikimedia.org/wikipedia/commons/2/28/Feta_Cheese.jpg
Asiago,A versatile cow's milk cheese.,Italy,hard,cow,https://upload.wikimedia.org/wikipedia/commons/3/39/Asagio_allevo3.jpg
Taleggio,A washed-rind cheese of a variety which has existed since Roman times.,Italy,semi-soft,cow,https://upload.wikimedia.org/wikipedia/commons/e/eb/Taleggio_vecchia_lavorazione_%283323694182%29.jpg
Cotija,An aged white cheese with a salty flavor.,Mexico,semi-hard,cow,https://upload.wikimedia.org/wikipedia/commons/1/11/Cotija_Cheese.jpg
Paneer,A non-aged soft cheese.,Indian subcontient,soft,cow; buffalo,https://upload.wikimedia.org/wikipedia/commons/3/36/Panir_Paneer_Indian_cheese_fresh.jpg
Chhurpi,A traditional Himalayan cheese.,Tibet,soft; hard,yak; cow,https://upload.wikimedia.org/wikipedia/commons/1/1a/Chhurpi_Nep.jpg
